Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ẹ kú àyẹ́sí	E ku ayesi	remove_accents_and_underdots	greetings
Ẹ kú ìnáwó	E ku inawo	remove_accents_and_underdots	greetings
Ẹ kú ìkúnra	E ku ikunra	remove_accents_and_underdots	greetings
Ẹ kú ìgbúròó.	E ku igburoo.	remove_accents_and_underdots	greetings
A kú ọ̀rọ̀ ara wa	A ku oro ara wa	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀mọ́ra	E ku atemora	remove_accents_and_underdots	greetings
Ẹ kú àṣẹ̀yìndè	E ku aseyinde	remove_accents_and_underdots	greetings
Ẹ kú ìdèlé	E ku idele	remove_accents_and_underdots	greetings
Ẹ kú ìtọ́jú	E ku itoju	remove_accents_and_underdots	greetings
Ẹ kú etígbọ̀ọ́	ku etigbọọ	remove_only_accents_and_any_random_word	greetings
Ara ire yóò gbà á	Ara ire yoo gba a	remove_only_accents	greetings
Ó dígbà	O digba	remove_accents_and_underdots	greetings
Ẹ ṣe é	E se e	remove_accents_and_underdots	greetings
Ó dàárọ̀	O daaro	remove_accents_and_underdots	greetings
Ó dábọ̀	O dabo	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ ìbí	Ẹ ọjọ ibi	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọdún tuntun	E ku odun tuntun	remove_accents_and_underdots	greetings
Ẹ kú ọdún kérésì	Ẹ ku keresi ọdun	remove_only_accents_and_swap_word	greetings
Ẹ pẹ̀lẹ́	E pele	remove_accents_and_underdots	greetings
Ẹ má bìnú	Ẹ ma binu	remove_only_accents	greetings
Nítorí mi lẹ fi wá? ẹ kú àyẹ́sí mi.	Nitori mi le fi wa? e ku ayesi mi.	remove_accents_and_underdots	greetings
Ẹ kú àyẹ́sí ọmọ mi.	E ku ayesi omo mi.	remove_accents_and_underdots	greetings
Ǹjẹ́ a lè lọ kí àwọn bàbá yẹn kú àyẹ́sí wa?	Njẹ a le lọ ki awọn baba yẹn ku ayẹsi wa?	remove_only_accents	greetings
Kí ẹ rí i pé ẹ kì àwọn bàbá yẹn kú àyẹ́sí yín.	Ki ẹ ri i pe ẹ ki awọn baba yẹn ku ayẹsi yin.	remove_only_accents	greetings
Kání mo mọ̀, n ò bá ti kí wọn kú àyẹ́sí.	Kani mo mo, n o ba ti ki won ku ayesi.	remove_accents_and_underdots	greetings
Ìyá Ṣọlá, ẹ mà kú ìnáwó.	Iya Sola, e ma ku inawo.	remove_accents_and_underdots	greetings
Ọkọ ìyàwó àti ìyàwó ló yẹ kí o kí kú ìnáwó.	Ọkọ iyawo ati iyawo lo yẹ ki o ki inawo. ku	remove_only_accents_and_swap_word	greetings
Bàbá rẹ̀ mà kú ìnáwó.	Baba re ma ku inawo.	remove_accents_and_underdots	greetings
Ǹjẹ́ o ti kí wọn kú ìnáwó?	Njẹ ti ki wọn ku inawo?	remove_only_accents_and_any_random_word	greetings
Mo fẹ́ lọ kí bàbá mi pé wọ́n kú ìnáwó.	Mo fe lo ki baba mi pe won ku inawo.	remove_accents_and_underdots	greetings
Ìya olóyún, ẹ kú ìkúnra o.	Iya oloyun, e ku ikunra o.	remove_accents_and_underdots	greetings
O ti lóyún? O kú ìkúnra.	O ti loyun? O ku ikunra.	remove_only_accents	greetings
Olúwa ṣeun, ẹ kú ìkúnra.	Oluwa ṣeun, ku ikunra.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìkúnra o, àsọ̀kalẹ̀ ayọ̀.	E ku ikunra o, asokale ayo.	remove_accents_and_underdots	greetings
Ẹ kú oríire ìya Bùsáyọ̀, ẹ kú ìkúnra.	Ẹ ku oriire iya Busayọ, ẹ ku ikunra.	remove_only_accents	greetings
Ẹ káàsán níbí o, ẹ sì kú ìgbúròó.	Ẹ kaasan nibi o, ẹ si igburoo.	remove_only_accents_and_any_random_word	greetings
Ẹ kú àmójúbà, ẹ sì kú ìgbúròó.	Ẹ ku amojuba, ẹ si igburoo.	remove_only_accents_and_any_random_word	greetings
Àwọn àna yín ti dé! Ẹ kú ìbúròó.	Awọn ana yin ti de! Ẹ ku iburoo.	remove_only_accents	greetings
Ẹ kú ìgbúròó bàbá, ọmọ yín ti kọ̀wé ránṣẹ́.	E ku igburoo baba, omo yin ti kowe ranse.	remove_accents_and_underdots	greetings
Ẹ kú ìgburòó àwọn ará Ọ̀yọ́.	E ku igburoo awon ara Oyo.	remove_accents_and_underdots	greetings
Ẹ jẹ jẹ́ ká kí ara wa kú ọrọ̀ ara wa.	E je je ka ki ara wa ku oro ara wa.	remove_accents_and_underdots	greetings
Ẹ kú ìdìde, a kú ọrọ̀ ara wa.	Ẹ ku idide, a ku ọrọ ara wa.	remove_only_accents	greetings
Ẹ ṣeun bàba Bọlá, a kú ọrọ̀ ara wa.	E seun baba Bola, a ku oro ara wa.	remove_accents_and_underdots	greetings
Mo dúpẹ́ gidi gan lọ́wọ́ gbogbo yín, a kú ọrọ̀ ara wa.	Mo dupẹ gidi gan lọwọ gbogbo yin, ọrọ ku a ara wa.	remove_only_accents_and_swap_word	greetings
Ẹ ṣeun tí ẹ ṣúgbà mi, a sì kú ọrọ̀ ara wa.	E seun ti e sugba mi, a si ku oro ara wa.	remove_accents_and_underdots	greetings
A kú àtẹ̀mọ́rá ẹ̀yin ọmọ ẹgbẹ́!	ẹgbẹ! ku atẹmọra ẹyin ọmọ A	remove_only_accents_and_swap_word	greetings
Ẹ pẹ̀lẹ́, ẹ kú àtẹ̀mọ́ra.	E pele, e ku atemora.	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀mọ́ra o, a ò ní rí irú ẹ̀ mọ́.	Ẹ ku o, a o ni ri iru ẹ mọ.	remove_only_accents_and_any_random_word	greetings
Gbogbo ará ìlú ní kí a kíi yín kú àtẹ̀mọ́ra.	Gbogbo ara ilu ni ki a kii yin ku atẹmọra.	remove_only_accents	greetings
Ẹ̀yin la wá kí, ẹ kú àtẹ̀mọ́ra.	Eyin la wa ki, e ku atemora.	remove_accents_and_underdots	greetings
A kíi yín o, ẹ kú àṣẹ̀yìndè.	A kii yin o, e ku aseyinde.	remove_accents_and_underdots	greetings
Mo ṣẹ̀ṣẹ̀ gbọ́ ikú rẹ̀ ni, ẹ kú àṣẹ̀yìndè.	Mo sese gbo iku re ni, e ku aseyinde.	remove_accents_and_underdots	greetings
Ẹ kú àṣẹ̀yìnde bàba yín.	E ku aseyinde baba yin.	remove_accents_and_underdots	greetings
Mo bá a yín kẹ́dùn, ẹ kú àṣẹ̀yìndè ìya yín.	Mo ba a yin kẹdun, ẹ ku aṣẹyinde iya yin.	remove_only_accents	greetings
Ẹ kú àṣẹ̀yìndè, ọdún ájínà síra.	E ku aseyinde, odun ajina sira.	remove_accents_and_underdots	greetings
Báwo ni Báyọ̀? ẹ kú ìdèlé bàba yín.	Bawo ni Bayọ? ẹ idele baba yin.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìdèlé, a ò ní rí irú rẹ̀ mọ́.	E ku idele, a o ni ri iru re mo.	remove_accents_and_underdots	greetings
Ẹ bá mi kí wọn kú ìdèlé.	E ba mi ki won ku idele.	remove_accents_and_underdots	greetings
Ẹ kú ìdèlé o ẹ̀yin ẹbí, odún á jínà síra o.	E ku idele o eyin ebi, odun a jina sira o.	remove_accents_and_underdots	greetings
Ẹ kú ìdèle ẹni ire tó fayé sílẹ̀.	E ku idele eni ire to faye sile.	remove_accents_and_underdots	greetings
Ẹ kú ìtọ́jú màmá, báwo lara wọ́n?	Ẹ ku itọju mama, bawo lara wọn?	remove_only_accents	greetings
Ẹ kú ìtọ́jú, ọlọ́run á mú wọn lára dá.	E ku itoju, olorun a mu won lara da.	remove_accents_and_underdots	greetings
Ẹ ṣeun ìya agbẹ̀bí, ẹ kú ìtọ́jú.	E seun iya agbebi, e ku itoju.	remove_accents_and_underdots	greetings
Ṣé ara ọkọ yín balẹ̀? Ẹ kú ìtọ́jú o.	Ṣe ara ọkọ yin balẹ? Ẹ ku itọju	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìtọ́jú ọmọ yín.	E ku itoju omo yin.	remove_accents_and_underdots	greetings
Ẹ kú oríire, ẹ sì kú etígọ̀ọ́.	E ku oriire, e si ku etigoo.	remove_accents_and_underdots	greetings
Mo bá a yín yọ̀ o, ẹ kú etígbọ̀ọ́.	Mo ba a yin ẹ o, yọ ku etigbọọ.	remove_only_accents_and_swap_word	greetings
Ìròyin ayọ̀ leléyìí o, ẹ kú etígbọ̀ọ́.	Iroyin ayo leleyii o, e ku etigboo.	remove_accents_and_underdots	greetings
Ẹ kú etígọ̀ọ́ ìya Doyin.	E ku etigoo iya Doyin.	remove_accents_and_underdots	greetings
Ẹ kú etígbọ̀ọ́, ayọ̀ náà á kárí.	E ku etigboo, ayo naa a kari.	remove_accents_and_underdots	greetings
Ẹ ti ń jẹun ìyẹn, ara ire yóò gbà á.	Ẹ ti n jẹun iyẹn, ara ire yoo gba a.	remove_only_accents	greetings
Ẹ kú ìgbádùn o, ara ire yóò gbà á.	E ku igbadun o, ara ire yoo gba a.	remove_accents_and_underdots	greetings
Ẹ kú àpèjẹ o, ara ire yóò gbà á.	Ẹ ku apejẹ o, ara ire yoo gba a.	remove_only_accents	greetings
Ẹ kú àsè, ara ire yóò gbà á.	Ẹ ku ase, ara ire yoo gba	remove_only_accents_and_any_random_word	greetings
Mo bá a yín re, ara ire yóò gbà á.	Mo ba a yin re, ara ire yoo gba a.	remove_accents_and_underdots	greetings
Ó dígbà o, ẹ ṣe jẹ́jẹ́ o.	O digba o, ẹ ṣe jẹjẹ o.	remove_only_accents	greetings
A ti ń lọ o, ó dígbà o.	A ti n lo o, o digba o.	remove_accents_and_underdots	greetings
Ó dígbà o, ẹ kí gbogbo ilé o.	O o, ẹ ki gbogbo ile o.	remove_only_accents_and_any_random_word	greetings
Ódígbà ẹ̀yin ọ̀rẹ́, à ó tùn máa ríra.	Odigba eyin ore, a o tun maa rira.	remove_accents_and_underdots	greetings
Ó dígbà o, kọ́lọ́hun má kọ àtúnrí wa.	O digba o, kolohun ma ko atunri wa.	remove_accents_and_underdots	greetings
Mo dúpẹ́ gigi gan ni, ẹ ṣe é.	Mo dupe gigi gan ni, e se e.	remove_accents_and_underdots	greetings
Ẹ ṣe é ìya Bùkúnmi, ẹ kú ìdìde.	idide. ṣe e iya Bukunmi, ẹ ku Ẹ	remove_only_accents_and_swap_word	greetings
Ẹ ṣe é ẹ̀yin ará ìlú, ẹ kú àtìlẹyìn mi.	Ẹ ṣe e ẹyin ara ilu, ẹ ku atilẹyin mi.	remove_only_accents	greetings
Bá mi kí wọn o, wọ́n ṣe é o.	Ba ki wọn o, wọn ṣe e o.	remove_only_accents_and_any_random_word	greetings
Wọ́n ní pé ẹ ṣé o.	Won ni pe e se o.	remove_accents_and_underdots	greetings
Ó dàárọ̀ o, Ọlọ́hun a jíwa re.	O daarọ o, Ọlọhun a jiwa re.	remove_only_accents	greetings
Ó dàárọ̀ ẹ̀yin ará, a ó ríra lọ́la.	O daaro eyin ara, a o rira lola.	remove_accents_and_underdots	greetings
Mò ń lọ sùn, ó dàárọ̀.	Mo n lo sun, o daaro.	remove_accents_and_underdots	greetings
Ilẹ̀ ti ṣú, ó dàárọ̀.	Ile ti su, o daaro.	remove_accents_and_underdots	greetings
Mò ń wọlé lọ sùn, ó dàárọ̀.	Mo n wole lo sun, o daaro.	remove_accents_and_underdots	greetings
Ó dábọ̀ ẹ̀yin akẹ́kọ̀ọ́.	dabọ ẹyin akẹkọọ.	remove_only_accents_and_any_random_word	greetings
A tí lọ o, ó dábọ̀.	A ti lọ o, o dabọ.	remove_only_accents	greetings
Ẹ má pẹ̀ o, ó dábọ̀.	E ma pe o, o dabo.	remove_accents_and_underdots	greetings
Ó dábọ̀, ẹ tètè dé o.	O dabo, e tete de o.	remove_accents_and_underdots	greetings
A ti fẹ bọ́ sọ́nà, ó dábọ̀.	A ti fe bo sona, o dabo.	remove_accents_and_underdots	greetings
Ẹ kú oríre òní, ẹ sì kú ọjọ́ ìbí.	Ẹ orire oni, ẹ si ku ọjọ ibi.	remove_only_accents_and_any_random_word	greetings
O kú ọjọ́ ìbí, ẹ̀mí rẹ ó ṣe púpọ̀ ọdún láyé.	O ku ojo ibi, emi re o se pupo odun laye.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ ìbí, ẹ ò ní fi ọdún yìí ṣe àṣemọ.	Ẹ ku ni ibi, ẹ o ọjọ fi ọdun yii ṣe aṣemọ.	remove_only_accents_and_swap_word	greetings
Ẹ kú ọjọ́ ìbí bàbá Àjàní, ẹ ò ní kúkú òjijì.	E ku ojo ibi baba Ajani, e o ni kuku ojiji.	remove_accents_and_underdots	greetings
Bá mi kí Àyọ̀ká pé ó kú ọjọ́ ìbí.	Ba mi pe Ayọka ki o ku ọjọ ibi.	remove_only_accents_and_swap_word	greetings
A kú ọdún tuntun o, ọ̀pọ rẹ̀ la ó ṣe láyé.	A ku ọdun tuntun o, ọpọ rẹ la o ṣe laye.	remove_only_accents	greetings
A kú ọdún tuntun, màá ríi yín níwòyí ẹ̀míì.	A ku odun tuntun, maa rii yin niwoyi emii.	remove_accents_and_underdots	greetings
A kú ọdún tuntun, àṣèyí ṣàmọ́dún.	A ku odun tuntun, aseyi samodun.	remove_accents_and_underdots	greetings
A kú ọdún tuntun bàba Bọ́sẹ̀, ojú á máa rọ́dún.	A baba ọdun tuntun ku Bọsẹ, oju a maa rọdun.	remove_only_accents_and_swap_word	greetings
Ẹ kú oríire ẹ̀yin ará, a kú ọdún tuntun.	E ku oriire eyin ara, a ku odun tuntun.	remove_accents_and_underdots	greetings
Ẹ kú ọdún kérésì o, a ó ṣẹ̀míì.	E ku odun keresi o, a o semii.	remove_accents_and_underdots	greetings
A kú oríire, a dẹ̀ kú ọdún kérésì.	oriire, ku A a dẹ ku ọdun keresi.	remove_only_accents_and_swap_word	greetings
Bá mi kí bàbá pé wọ́n kú ọdún kérésì.	Ba mi ki baba pe wọn ku ọdun keresi.	remove_only_accents	greetings
Ọdún yìí ò yẹ̀, ẹ kú ọdún kérésì.	Odun yii o ye, e ku odun keresi.	remove_accents_and_underdots	greetings
Òní lọjọ́ ìbi Jésù, a kú ọdún kérésì.	Oni lọjọ ibi Jesu, a ọdun keresi.	remove_only_accents_and_any_random_word	greetings
Ẹ pẹ̀lé, ṣé ẹ ò ṣèṣe?	E pele, se e o sese?	remove_accents_and_underdots	greetings
Bá mi kí wọn pẹ̀lẹ́.	Ba mi ki won pele.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́, ẹ sì kú ìtọ́jú.	E pele, e si ku itoju.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́, Ṣé ẹ ò ṣubú ṣá?	Ẹ pẹlẹ, Ṣe ẹ o ṣubu ṣa?	remove_only_accents	greetings
Pẹ̀lẹ́ Bámiró, ṣé ará balẹ̀?	Pẹlẹ Bamiro, ara balẹ?	remove_only_accents_and_any_random_word	greetings
Ó ṣééṣì ni, ẹ má bìnú.	O ṣeeṣi ni, ẹ ma binu.	remove_only_accents	greetings
Mo bẹ̀ yín, ẹ má bìnú sími.	Mo bẹ yin, ẹ ma binu simi.	remove_only_accents	greetings
Bẹ̀ wọ́n kí o sì sọ fún wọ́n pé kí wọ́n má bìnú.	Be won ki o si so fun won pe ki won ma binu.	remove_accents_and_underdots	greetings
Ìdọ̀bálẹ̀ ni mo wà, ẹ má bìnú.	Idobale ni mo wa, e ma binu.	remove_accents_and_underdots	greetings
Ẹ má bìnú sími, iṣẹ́ èṣù ni.	E ma binu simi, ise esu ni.	remove_accents_and_underdots	greetings
Ẹ káàrọ̀	E kaaro	remove_accents_and_underdots	greetings
Ẹ káàsán	E kaasan	remove_accents_and_underdots	greetings
Ẹ káalẹ́	Ẹ kaalẹ	remove_only_accents	greetings
Àgò onílé	Ago onile	remove_accents_and_underdots	greetings
Ẹ kú ìkàlẹ̀	E ku ikale	remove_accents_and_underdots	greetings
Ẹ kú ìdúró	Ẹ ku iduro	remove_only_accents	greetings
Ẹ kú iwájú	E ku iwaju	remove_accents_and_underdots	greetings
Ọkọ̀ á rẹ̀fó	Ọkọ a	remove_only_accents_and_any_random_word	greetings
Ọkọ̀’re lẹ̀ ó wọ̀ o	Oko’re le o wo o	remove_accents_and_underdots	greetings
Àlọ yóò dára, àbọ̀ yóò dùn	Alo yoo dara, abo yoo dun	remove_accents_and_underdots	greetings
Àjọ kò tú o	Ajọ ko tu	remove_only_accents_and_any_random_word	greetings
Ẹ máa kálọ	E maa kalo	remove_accents_and_underdots	greetings
Àsùn jí	Asun ji	remove_accents_and_underdots	greetings
Ajé yóò dí i	Aje yoo di i	remove_accents_and_underdots	greetings
Mo mọ̀ ọ́n rìn	Mo ọn rin	remove_only_accents_and_any_random_word	greetings
Mo báa yín re	Mo baa yin re	remove_accents_and_underdots	greetings
Ẹ rè wá o	Ẹ re wa o	remove_only_accents	greetings
Àdélé báre	Adele bare	remove_accents_and_underdots	greetings
Ẹ kú ìdìde	E ku idide	remove_accents_and_underdots	greetings
Ẹ kú ọlá	E ku ola	remove_accents_and_underdots	greetings
Ẹ kú àrótí	E ku aroti	remove_accents_and_underdots	greetings
Ẹlẹ́dàá yóò gba aájò	Eledaa yoo gba aajo	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ èèyàn	E ku oro eeyan	remove_accents_and_underdots	greetings
Ẹ kú ìfẹ́	ku ifẹ	remove_only_accents_and_any_random_word	greetings
Ayọ̀ lẹ ó fi gbà á	Ayọ lẹ o fi gba a	remove_only_accents	greetings
Ẹ kú làásìgbò	E ku laasigbo	remove_accents_and_underdots	greetings
Ẹ̀yìn ìyàwó kò ní mọ ẹni	Ẹyin ko ni mọ ẹni	remove_only_accents_and_any_random_word	greetings
Òwò èrè ni Ọlọ́run yóò pè é	Owo ere ni Olorun yoo pe e	remove_accents_and_underdots	greetings
Ẹ kú àkẹ́nù	E ku akenu	remove_accents_and_underdots	greetings
Àwòdì, o kú ewu	Awodi, o ku ewu	remove_accents_and_underdots	greetings
Ẹ kú àjàlà	Ẹ ku ajala	remove_only_accents	greetings
Ọlọ́run yóò fi òfò ra ẹ̀mí	Olorun yoo fi ofo ra emi	remove_accents_and_underdots	greetings
Omi ló dànù, Ọlọ́run kò ní jẹ́ kí agbè ó fọ́	Omi lo danu, Olorun ko ni je ki agbe o fo	remove_accents_and_underdots	greetings
Ẹ kú bí Ọlọ́run ti wí	E ku bi Olorun ti wi	remove_accents_and_underdots	greetings
Ọlọ́run yóò ti ìlẹ̀kùn ìbànújẹ	Olorun yoo ti ilekun ibanuje	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀yìnkú	E ku ateyinku	remove_accents_and_underdots	greetings
Ẹ kú àyọ́lọ	E ku ayolo	remove_accents_and_underdots	greetings
Ẹ kú ọdún	Ẹ ku	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìyèdún	E ku iyedun	remove_accents_and_underdots	greetings
Ọdún ó ya abo	Ọdun o ya	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìpalẹ̀mọ́ ọdún	E ku ipalemo odun	remove_accents_and_underdots	greetings
Ẹ kú ọ̀gbẹlẹ̀	E ku ogbele	remove_accents_and_underdots	greetings
Ẹ kú ọ̀dá yìi	E ku oda yii	remove_accents_and_underdots	greetings
Ẹ kú ọ̀gìnnìtì	Ẹ ọginniti ku	remove_only_accents_and_swap_word	greetings
Ẹ kú òtútù yìi	E ku otutu yii	remove_accents_and_underdots	greetings
Ẹ kú ìgbà tó dé	Ẹ ku igba to	remove_only_accents_and_any_random_word	greetings
Ẹ kú àsìkò yìí	E ku asiko yii	remove_accents_and_underdots	greetings
Kí Ọlọ́run má kọ àtúnrí	Ki Olorun ma ko atunri	remove_accents_and_underdots	greetings
Ìpàdé wa bíi oyin	Ipade wa bii oyin	remove_only_accents	greetings
Ọlọ́run kò ní ṣe èyí láṣe mọ	Olorun ko ni se eyi lase mo	remove_accents_and_underdots	greetings
Ẹ kú oyè	Ẹ ku oye	remove_only_accents	greetings
Ẹ kú ewu	E ku ewu	remove_accents_and_underdots	greetings
Mo yọ̀ fún ọ	Mo yọ fun	remove_only_accents_and_any_random_word	greetings
Ayọ̀ abara tíntín	abara Ayọ tintin	remove_only_accents_and_swap_word	greetings
Ẹ kú ọwọ́ lómi	E ku owo lomi	remove_accents_and_underdots	greetings
Àsùn wú o	Asun wu o	remove_accents_and_underdots	greetings
Ẹ kú ará fẹ́ra kù	E ku ara fera ku	remove_accents_and_underdots	greetings
Àrokobọ́dún dé	Arokobodun de	remove_accents_and_underdots	greetings
Àrọyè o	Arọye o	remove_only_accents	greetings
Àrìnpa	Arinpa	remove_only_accents_and_swap_word	greetings
Asogun aro o	Asogun aro o	remove_accents_and_underdots	greetings
Ojúgboro o	Ojugboro o	remove_accents_and_underdots	greetings
Àhunlà o	Ahunla o	remove_accents_and_underdots	greetings
Àbọrúbọyè	Abọrubọye	remove_only_accents_and_swap_word	greetings
Ọlọsẹ yóò gbà á o	Ọlọsẹ yoo gba a o	remove_only_accents	greetings
Ajé rere yóò wọgbá	Aje rere yoo wogba	remove_accents_and_underdots	greetings
Àdẹpa o!	Adepa o!	remove_accents_and_underdots	greetings
Kádé pẹ́ lórí; Kí bàtà pẹ́ lésẹ̀	Kade pe lori; Ki bata pe lese	remove_accents_and_underdots	greetings
Àjẹgbó, àjẹtọ́, àjẹpẹ́	Ajẹgbo, ajẹpẹ ajẹtọ,	remove_only_accents_and_swap_word	greetings
Ẹ kú ìbà o	Ẹ ku iba o	remove_only_accents	greetings
Àrẹpọ́n	Arẹpọn	remove_only_accents_and_any_random_word	greetings
Àmọyè o	Amoye o	remove_accents_and_underdots	greetings
Ẹmu á ṣẹ̀ o	Ẹmu a ṣẹ o	remove_only_accents	greetings
Mo kọ́ta, mo kópè	Mo kọta, mo kope	remove_only_accents	greetings
Àwẹ̀lú o	Awelu o	remove_accents_and_underdots	greetings
Ẹ kú atótónu	Ẹ atotonu	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọjọ́ mẹ́ta	E ku ojo meta	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí	Ẹ ku iwoyi	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìjókò	E ku ijoko	remove_accents_and_underdots	greetings
Ọwọ́ á dẹ o	Owo a de o	remove_accents_and_underdots	greetings
Ẹ kú aráfẹ́rakù	E ku araferaku	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ	ku ongbẹ	remove_only_accents_and_any_random_word	greetings
Ẹ káàbọ̀	E kaabo	remove_accents_and_underdots	greetings
Ẹ kú ìpàdé	E ku ipade	remove_accents_and_underdots	greetings
Ẹ kú àìgbàgbé	E ku aigbagbe	remove_accents_and_underdots	greetings
Ẹ kú bọ́jọ́ ṣe rí	E ku bojo se ri	remove_accents_and_underdots	greetings
Ẹ kú bó ṣe ń lọ	E ku bo se n lo	remove_accents_and_underdots	greetings
