Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Àbọrúbọyè bàbà!	Aboruboye baba!	remove_accents_and_underdots	greetings
Àbọrúbọyè là ń kí àwọn onífá.	Aboruboye la n ki awon onifa.	remove_accents_and_underdots	greetings
Kúnlé kí bàbà rẹ wí pé Àbọrúbọyè o.	Kunle ki baba re wi pe Aboruboye o.	remove_accents_and_underdots	greetings
Mo kí bàbà náà pé Àbọrúbọyè.	Mo ki baba naa pe Abọrubọye.	remove_only_accents	greetings
Àbọrúbọyè nílé yìí ó, báyìí ni Ṣọlá kí wọn lọ́ọ̀dẹ̀ Fágbèmí.	Aboruboye nile yii o, bayii ni Sola ki won loode Fagbemi.	remove_accents_and_underdots	greetings
Ẹ kú àdúrà o, ọlọsẹ yóò gbà á o.	Ẹ ku adura o, ọlọsẹ yoo gba a o.	remove_only_accents	greetings
Ẹ kú iwájú o, ọlọsẹ yóò gbà á o.	E ku iwaju o, olose yoo gba a o.	remove_accents_and_underdots	greetings
Àwa náà ń bọ̀, ọlọsẹ yóò gbà á o.	Awa naa yoo bọ, ọlọsẹ n gba a o.	remove_only_accents_and_swap_word	greetings
Ẹ kú akitiyan, ọlọsẹ yóò gbà á o.	ku Ẹ akitiyan, ọlọsẹ yoo gba a o.	remove_only_accents_and_swap_word	greetings
Ọlọsẹ yóò gbà á o, a ò ní ṣe é lásán.	Olose yoo gba a o, a o ni se e lasan.	remove_accents_and_underdots	greetings
Ẹ kú ọjà, ajé rere yóò wọgbá.	Ẹ ku ọja, aje rere yoo wọgba.	remove_only_accents	greetings
Àtà jèrè ó, ajé rere yóò wọgbá.	Ata jere o, aje rere yoo wogba.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́, ajé rere yóò wọgbá.	Ẹ ku iṣẹ, aje rere yoo wọgba.	remove_only_accents	greetings
Ajé rere yóò wọgbá o ìyá Bísí.	Aje rere yoo wogba o iya Bisi.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ajé òní, ajé rere yóò wọgbá.	Ẹ ku ọrọ aje oni, aje rere yoo wọgba.	remove_only_accents	greetings
Àdẹpa ogún o!	Adepa ogun o!	remove_accents_and_underdots	greetings
Àdẹpa ogún bàbà ọdẹ.	baba ogun Adẹpa ọdẹ.	remove_only_accents_and_swap_word	greetings
Àdẹpa ogún là ń kí àwọn ọlọ́dẹ.	Adẹpa ogun la n ki ọlọdẹ.	remove_only_accents_and_any_random_word	greetings
Ìyàwó òde kí ọkọ rẹ pé Àdẹpa o.	Iyawo ode ki ọkọ rẹ pe Adẹpa o.	remove_only_accents	greetings
Àdẹpa ó, Ọlọ́run yóò mú pípa wá o.	Adẹpa o, Ọlọrun yoo mu pipa wa o.	remove_only_accents	greetings
Aláyélúwà, kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Alayeluwa, kade pe lori ki bata pe lese.	remove_accents_and_underdots	greetings
Kábíyèsí, Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Kabiyesi, Kade pe lori ki bata pe lese.	remove_accents_and_underdots	greetings
Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀ là ń kí àláyélúwà láàfin.	Kade pe lori ki bata pe lese la n ki alayeluwa laafin.	remove_accents_and_underdots	greetings
Moyírà fún Kábíyèsí, Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀.	Moyira fun Kabiyesi, Kade pẹ lori ki bata pẹ lẹsẹ.	remove_only_accents	greetings
Kádé pẹ́ lórí kí bàtà pẹ́ lẹ́sẹ̀, bàbá ẹ̀ pẹ́ fún wa.	Kade pe lori ki bata pe lese, baba e pe fun wa.	remove_accents_and_underdots	greetings
Àjẹgbó, àjẹtọ́, àjẹpẹ́ ni ti àwọn ìjòyè.	Ajegbo, ajeto, ajepe ni ti awon ijoye.	remove_accents_and_underdots	greetings
Oyè á mọ́rí o, Àjẹgbó, àjẹtọ́, àjẹpẹ́.	Oye a mọri o, Ajẹgbo, ajẹtọ, ajẹpẹ.	remove_only_accents	greetings
Bàbá olóyè, oyè yín yóò jẹ Àjẹgbó, àjẹtọ́, àjẹpẹ́.	Baba oloye, oye yin yoo je Ajegbo, ajeto, ajepe.	remove_accents_and_underdots	greetings
Ẹ kú oriire òní, Àjẹgbó, àjẹpẹ́ àjẹtọ́.	E ku oriire oni, Ajegbo, ajepe ajeto.	remove_accents_and_underdots	greetings
Kábíyèsí òye yóò mó rí, Àjẹgbó, àjẹtọ́, àjepẹ́.	Kabiyesi oye mo ri, Ajẹgbo, ajẹtọ, ajepẹ.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìbà bàbà olóye.	E ku iba baba oloye.	remove_accents_and_underdots	greetings
Ẹ kú ìbà àtàárọ̀.	E ku iba ataaro.	remove_accents_and_underdots	greetings
Ẹ kú ìbà kábíyèsí, ogbó, ató yín baba.	Ẹ ku iba kabiyesi, ogbo, yin baba.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìbà mi ìgbà gbogbo.	E ku iba mi igba gbogbo.	remove_accents_and_underdots	greetings
Ẹ kú ìbà ó eyín ènìyàn mi.	E ku iba o eyin eniyan mi.	remove_accents_and_underdots	greetings
Àrẹpọ́n o ìya wa.	Arepon o iya wa.	remove_accents_and_underdots	greetings
Àrẹpọ́n o ìyá Aláró.	Arepon o iya Alaro.	remove_accents_and_underdots	greetings
Mo kí ìyá àgbà kú Àrẹpọ́n o.	Mo ki iya agba ku Arẹpọn o.	remove_only_accents	greetings
Àrẹpọ́n o, ẹ sì kú iṣẹ́.	Arẹpọn o, ẹ si ku iṣẹ.	remove_only_accents	greetings
Àwọn Aláró ń kí ara wọn pé Àrẹpọ́n o.	Awọn o. n ki ara wọn pe Arẹpọn Alaro	remove_only_accents_and_swap_word	greetings
Àmọyè o bàba oníkòkò.	Amoye o baba onikoko.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́, Àmọyè ni yóò jẹ́.	E ku ise, Amoye ni yoo je.	remove_accents_and_underdots	greetings
Àmọyè ó ìyá mi.	Amoye o iya mi.	remove_accents_and_underdots	greetings
Àmọyè ni tàwọn òníkòkò.	tawọn ni Amọye onikoko.	remove_only_accents_and_swap_word	greetings
Àmọyè ó ẹyin amọ̀kòkò!	Amoye o eyin amokoko!	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́ bàbá, ẹmu á ṣẹ̀ o.	E ku ise baba, emu a se o.	remove_accents_and_underdots	greetings
Baba ẹlẹ́mu, ẹmu á ṣẹ̀ o.	Baba elemu, emu a se o.	remove_accents_and_underdots	greetings
Ẹ ti ń lọ oko ẹmu baba? ẹmú á ṣẹ̀ o.	E ti n lo oko emu baba? emu a se o.	remove_accents_and_underdots	greetings
Ẹmu á ṣẹ̀ ó baba.	baba. a ṣẹ o Ẹmu	remove_only_accents_and_swap_word	greetings
Àyánpéjú kí bàbá ìyá rẹ̀ pé ẹmu á ṣẹ̀ o.	Ayanpeju ki baba iya re pe emu a se o.	remove_accents_and_underdots	greetings
Ẹ kú ìkàlẹ̀ ó, mo kọ́tà mo kópè o.	Ẹ ikalẹ o, mo kọta mo kope o.	remove_only_accents_and_any_random_word	greetings
Mo kọ́tà mo kópè ó eyín ènìyàn mi.	Mo kọta mo kope o eyin eniyan mi.	remove_only_accents	greetings
Mo kọ́tà mo kópè níbí yìí o.	Mo kota mo kope nibi yii o.	remove_accents_and_underdots	greetings
Mo kọ́tà mo kópè nílé ayò o.	Mo kota mo kope nile ayo o.	remove_accents_and_underdots	greetings
Ìdí ayo ni a ń kíni pé mo kọ́tà mo kópè.	Idi ayo ni a n kini pe mo kota mo kope.	remove_accents_and_underdots	greetings
Ẹ kú iṣẹ́ o bàbà, Àwẹ̀lú o.	Ẹ o. iṣẹ o baba, Awẹlu ku	remove_only_accents_and_swap_word	greetings
Àwẹ̀lú o là n kì òmùwẹ̀.	Awelu o la n ki omuwe.	remove_accents_and_underdots	greetings
Àwẹ̀lú o bàbá àgbà.	Awelu o baba agba.	remove_accents_and_underdots	greetings
Àwẹ̀lú o ìyá Táyọ̀!	Awelu o iya Tayo!	remove_accents_and_underdots	greetings
Àwẹ̀lú o ẹ̀yin òmùwẹ̀.	Awelu o eyin omuwe.	remove_accents_and_underdots	greetings
Ẹ kú atótónu látàárọ̀.	E ku atotonu lataaro.	remove_accents_and_underdots	greetings
Ẹ kú atótónu ẹ̀yin ènìyàn mi.	E ku atotonu eyin eniyan mi.	remove_accents_and_underdots	greetings
Ẹ kú atótónu ìyá Bísí.	E ku atotonu iya Bisi.	remove_accents_and_underdots	greetings
Ẹ kú atótónu, èrè ayọ̀ la ó gbà níbè.	Ẹ ku atotonu, ere ayọ la o gba nibe.	remove_only_accents	greetings
Ẹ kú atótónu, ẹ sì kú ọrọ̀ ìlú.	Ẹ atotonu, ẹ si ku ọrọ ilu.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọjọ́ mẹ́ta eyín ara ilé.	E ku ojo meta eyin ara ile.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta gbogbo mọ̀lẹ́bí.	E ku ojo meta gbogbo molebi.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta o, ṣé àlàáfíà lẹ wà?	E ku ojo meta o, se alaafia le wa?	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹta eyín ọ̀rẹ́ mi.	E ku ojo meta eyin ore mi.	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ mẹ́ta, ṣe ayọ̀ ni a báa yín?	E ku ojo meta, se ayo ni a baa yin?	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí gbogbo ilé!	E ku dede iwoyi gbogbo ile!	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí, ṣe ara le?	E ku dede iwoyi, se ara le?	remove_accents_and_underdots	greetings
Ẹ kú dédé ìwòyí, ṣe àlàáfíà la báa yín?	Ẹ ku dede iwoyi, ṣe alaafia la baa yin?	remove_only_accents	greetings
Ẹ kú dédé ìwòyí ẹ̀yin ọmọdé wọ̀nyí.	Ẹ ku dede iwoyi ẹyin ọmọde wọnyi.	remove_only_accents	greetings
A kú dédé ìwòyí ẹ̀yin ọ̀rẹ́ mi.	A ku dede iwoyi eyin ore mi.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó gbogbo ilé.	E ku ijokoo gbogbo ile.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó eyín àgbààgbà.	E ku ijokoo eyin agbaagba.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó, babá ń bọ̀.	E ku ijokoo, baba n bo.	remove_accents_and_underdots	greetings
Ẹ kú ìjókòó, ayọ̀ ni yóò já sí.	Ẹ ku ijokoo, ayọ ni yoo ja si.	remove_only_accents	greetings
Ẹ kú ìjókòó ẹ̀yín ìyá mi.	E ku ijokoo eyin iya mi.	remove_accents_and_underdots	greetings
Bàbá ọdẹ ẹ kú iṣẹ́, owó á dẹ o.	Baba ode e ku ise, owo a de o.	remove_accents_and_underdots	greetings
Ọwọ́ á dẹ o bàbá mi.	Ọwọ a dẹ o baba mi.	remove_only_accents	greetings
Ọwọ́ á dẹ o bàba ọdẹ!	Owo a de o baba ode!	remove_accents_and_underdots	greetings
Ọwọ́ á dẹ o, ìgbé yóò dára.	Ọwọ a dẹ o, yoo dara.	remove_only_accents_and_any_random_word	greetings
Ọwọ́ á dẹ o gbogbo ẹ̀yin ẹgbẹ́ ọdẹ.	Owo a de o gbogbo eyin egbe ode.	remove_accents_and_underdots	greetings
Ẹ pẹ̀lẹ́ ẹ sì kú aráfẹ́rakù.	Ẹ pẹlẹ ẹ si ku arafẹraku.	remove_only_accents	greetings
Ẹ kú aráfẹ́rakù ti bàbá àgbà.	arafẹraku ku Ẹ ti baba agba.	remove_only_accents_and_swap_word	greetings
Ẹ kú aráfẹ́rakù, a ò ní rí irú rẹ̀ mọ́.	E ku araferaku, a o ni ri iru re mo.	remove_accents_and_underdots	greetings
Ẹ kú aráfẹ́rakù, àwọn tókù yóò di irú digba.	Ẹ ku arafẹraku, awọn toku yoo di iru digba.	remove_only_accents	greetings
Ẹ kú aráfẹ́rakù, ẹ sì kú akitiyan.	E ku araferaku, e si ku akitiyan.	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ, ẹ̀mí á ṣíkà.	E ku ongbe, emi a sika.	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ, àdúrà yóò gbà.	ku ongbẹ, adura yoo gba.	remove_only_accents_and_any_random_word	greetings
Ẹ kú òǹgbẹ, Ọlọ́run yóò san yín lẹ́san.	E ku ongbe, Olorun yoo san yin lesan.	remove_accents_and_underdots	greetings
Ẹ kú òǹgbẹ oṣù yìí.	Ẹ ku ongbẹ oṣu yii.	remove_only_accents	greetings
Àwọn ará mọ́sálásí kí ara wọn kú òǹgbẹ.	Awọn ara mọsalasi ki ara wọn ku ongbẹ.	remove_only_accents	greetings
Ẹ káàbọ̀ màámi.	E kaabo maami.	remove_accents_and_underdots	greetings
Ẹ káàbọ̀ bàbá àgbà.	Ẹ kaabọ baba agba.	remove_only_accents	greetings
Ẹ káàbọ̀ sì ilé àlàáfíà.	E kaabo si ile alaafia.	remove_accents_and_underdots	greetings
Ẹ káàbọ̀ ẹ̀gbọ́n mi.	E kaabo egbon mi.	remove_accents_and_underdots	greetings
Ẹ káàbọ̀ sì ẹgbẹ́ wa.	E kaabo si egbe wa.	remove_accents_and_underdots	greetings
Ẹ kú ìpàdé, àdúrà wa yóò gbà.	Ẹ ku ipade, gba. wa yoo adura	remove_only_accents_and_swap_word	greetings
Ẹ kú ìpàdé ọmọ ẹgbẹ́ gbogbo.	E ku ipade omo egbe gbogbo.	remove_accents_and_underdots	greetings
Ẹ kú ìpàdé ìlú.	Ẹ ku ipade ilu.	remove_only_accents	greetings
Ẹ kú ìpàdé, ọ̀rọ̀ ìlú yóò dára.	Ẹ ku ipade, ọrọ ilu yoo dara.	remove_only_accents	greetings
Ẹ kú ìpàdé mọ̀lẹ́bí, ẹbí yóò dára.	E ku ipade molebi, ebi yoo dara.	remove_accents_and_underdots	greetings
Ẹ ṣeun, ẹ kú àìgbàgbé.	E seun, e ku aigbagbe.	remove_accents_and_underdots	greetings
Ẹ káàbọ̀, ẹ kú àìgbàgbé.	E kaabo, e ku aigbagbe.	remove_accents_and_underdots	greetings
Mo dúpẹ́ gidi gan-an ni, ẹ kú àìgbàgbé.	Mo dupẹ gidi gan-an ni, ẹ ku	remove_only_accents_and_any_random_word	greetings
Mo kíi yín ìya wa, ẹ kú àìgbàgbé.	Mo kii iya wa, ẹ ku aigbagbe.	remove_only_accents_and_any_random_word	greetings
Ẹ kú àìgbàgbé, irú ẹ lẹ ó fi gbà á.	Ẹ ku aigbagbe, o ẹ lẹ iru fi gba a.	remove_only_accents_and_swap_word	greetings
Ẹ kú bọ́jọ́ ṣe rí, a rí tìwa ṣe.	E ku bojo se ri, a ri tiwa se.	remove_accents_and_underdots	greetings
Ẹ Káàsán nílé yìí, ẹ sì ku bí ọjọ́ ṣe ri.	E Kaasan nile yii, e si ku bi ojo se ri.	remove_accents_and_underdots	greetings
Ẹ kú bí ọjọ́ ṣe rí ìyá alátẹ.	E ku bi ojo se ri iya alate.	remove_accents_and_underdots	greetings
Ẹ kú bí ọjọ́ ṣe rí, gbogbo rẹ yóò rọ̀wá lọ́run.	E ku bi ojo se ri, gbogbo re yoo rowa lorun.	remove_accents_and_underdots	greetings
Ẹ kú bí ọjọ́ ṣe rí, yóò sàn wá sí rere.	Ẹ ku bi ọjọ ṣe rere. yoo san wa si ri,	remove_only_accents_and_swap_word	greetings
Ẹ kú bó ṣe ń lọ ẹ̀yin ará ìlú.	E ku bo se n lo eyin ara ilu.	remove_accents_and_underdots	greetings
A kú bó ṣe ń lọ ẹyin ènìyàn mi.	A ku bo se n lo eyin eniyan mi.	remove_accents_and_underdots	greetings
Ẹ kú bó ṣe ń lọ, ẹ sì kú àfaradà.	E ku bo se n lo, e si ku afarada.	remove_accents_and_underdots	greetings
Olóyè kí gbogbo ènìyàn kú bó ṣe ń lọ.	Oloye ki gbogbo eniyan ku bo se n lo.	remove_accents_and_underdots	greetings
Ẹ kú bí ó ṣe ń lọ ẹ̀yin ará Ẹdẹ.	E ku bi o se n lo eyin ara Ede.	remove_accents_and_underdots	greetings
Ẹ kúuṣẹ́ baba, ìgbà á ro.	E kuuse baba, igba a ro.	remove_accents_and_underdots	greetings
Igbà á ro bàbá ẹlẹ́mu.	Igba a ro baba elemu.	remove_accents_and_underdots	greetings
Igbà á rọ ni ti àwọn akọ̀pẹ.	Igba a ro ni ti awon akope.	remove_accents_and_underdots	greetings
Mo rí bàbá akọ̀pẹ, mo sì kí wọn pé igbà árọ.	Mo ri baba akọpẹ, mo si ki wọn pe igba arọ.	remove_only_accents	greetings
Igbà á ro ni Bísí kí bàbá tí ó ń lọ oko ẹmu.	Igba a ro ni Bisi ki baba ti o n lo oko emu.	remove_accents_and_underdots	greetings
Àrẹdú ó ìyá Aláró.	Aredu o iya Alaro.	remove_accents_and_underdots	greetings
Mo bá ìyá Aláró ni ibi ìṣe ṣíṣe, mo sì kí wọn pé àrẹdú o.	Mo ba iya Alaro ni ibi iṣe ṣiṣe, mo si ki wọn pe arẹdu o.	remove_only_accents	greetings
Àrẹdú ó màmá mi.	Arẹdu o mama mi.	remove_only_accents	greetings
Àrẹdú ó, ṣé dáadáa ní è wà?	Aredu o, se daadaa ni e wa?	remove_accents_and_underdots	greetings
Àrẹdú ó, yóò yọ re.	Arẹdu o, yoo yọ re.	remove_only_accents	greetings
Ẹ kú òde, ṣé òde dùn?	E ku ode, se ode dun?	remove_accents_and_underdots	greetings
Ẹ kú òde, ẹ sì kú ìdìde.	E ku ode, e si ku idide.	remove_accents_and_underdots	greetings
Ẹ kú òde, ẹ̀ ó rẹ́mì gboore.	E ku ode, e o remi gboore.	remove_accents_and_underdots	greetings
Ẹ kú òde ìnáwó.	ode ku Ẹ inawo.	remove_only_accents_and_swap_word	greetings
Ẹ kú òde àná, ṣé kò rẹra?	Ẹ ku ode ana, ṣe ko rẹra?	remove_only_accents	greetings
Ẹ kú ìyálẹ̀ta, ṣé mo bá ìyá nílé?	Ẹ ku iyalẹta, ṣe mo ba nile? iya	remove_only_accents_and_swap_word	greetings
Ẹ kú ìyálẹ̀ta, ṣájé ń wá?	E ku iyaleta, saje n wa?	remove_accents_and_underdots	greetings
Ẹ kú ìyálẹ̀ta, bàbá mi ńkọ́?	E ku iyaleta, baba mi nko?	remove_accents_and_underdots	greetings
Ẹ kú ìyálẹ̀ta níbí yìí, àwọn ará ilé ńkọ́?	E ku iyaleta nibi yii, awon ara ile nko?	remove_accents_and_underdots	greetings
Ẹ kú ìyálẹ̀ta nílé yìí o.	Ẹ ku iyalẹta nile o.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ìpàdé, ẹ sì kú kó lè da.	E ku ipade, e si ku ko le da.	remove_accents_and_underdots	greetings
Ẹ kú kó lè da olórí ẹbí.	E ku ko le da olori ebi.	remove_accents_and_underdots	greetings
Ẹ kú kó lè da, tiyín náà kò ní bàjẹ́.	Ẹ ku ko le tiyin naa ko ni bajẹ.	remove_only_accents_and_any_random_word	greetings
Ẹ kú kó lè da ẹ̀yin olóyè.	E ku ko le da eyin oloye.	remove_accents_and_underdots	greetings
Ẹ kú kó lè da, ayọ̀ tiwá náà kò ní bàjé.	Ẹ ku ko le da, ayọ tiwa naa ko ni baje.	remove_only_accents	greetings
Ẹ kú ìlú, alálẹ̀ yóò gbè yín.	Ẹ ku ilu, alalẹ yoo gbe yin.	remove_only_accents	greetings
Ẹ kú ìlú ẹ̀yin ará Ọ̀yọ́.	E ku ilu eyin ara Oyo.	remove_accents_and_underdots	greetings
Ẹ kú ìlú, ìlú yóò tú bọ̀ tòrò.	E ku ilu, ilu yoo tu bo toro.	remove_accents_and_underdots	greetings
Ẹ kú ìlú, kò ní tú mọ́ wa lórí.	E ku ilu, ko ni tu mo wa lori.	remove_accents_and_underdots	greetings
Ẹ kú ìlú, yóò tú bọ̀ ju wá a ṣe.	E ku ilu, yoo tu bo ju wa a se.	remove_accents_and_underdots	greetings
Ẹ kú gbogbo ìgbà mi ìyá mi.	gbogbo ku Ẹ igba mi iya mi.	remove_only_accents_and_swap_word	greetings
Ẹ kú gbogbo ìgbà wa olórí ẹbí.	ku gbogbo igba wa olori ẹbi.	remove_only_accents_and_any_random_word	greetings
Ẹ kú gbogbo ìgbà ìyá àgbà.	E ku gbogbo igba iya agba.	remove_accents_and_underdots	greetings
Ẹ ṣeun, ẹ sì kú gbogbo ìgbà.	Ẹ ṣeun, igba. si ku gbogbo ẹ	remove_only_accents_and_swap_word	greetings
Àbúrò mi, o kú gbogbo ìgbà.	Aburo mi, o ku gbogbo igba.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ìlú, a tú wá lára.	E ku oro ilu, a tu wa lara.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ìlú, kò ní bàjé lórí wa.	E ku oro ilu, ko ni baje lori wa.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ìlú báálẹ̀.	E ku oro ilu baale.	remove_accents_and_underdots	greetings
Ẹ kú ọ̀rọ̀ ìlú ẹ̀yin olólùfẹ́ wa.	Ẹ ku ọrọ ilu ẹyin ololufẹ wa.	remove_only_accents	greetings
Ẹ kú ọ̀rọ̀ ìlú, àwọn bàbá ńlá wa yóò gbèjà wa.	Ẹ ku gbeja ilu, awọn baba nla wa yoo ọrọ wa.	remove_only_accents_and_swap_word	greetings
Ẹ kú àdúrà, àdúrà yóò gbà.	Ẹ adura, ku adura yoo gba.	remove_only_accents_and_swap_word	greetings
Ẹ kú àdúrà, Ọlọ́run yóò gbọ́ ẹ̀bẹ̀ wa.	E ku adura, Olorun yoo gbo ebe wa.	remove_accents_and_underdots	greetings
Ẹ kú àdúrà, ṣé ìya wa ti délé?	E ku adura, se iya wa ti dele?	remove_accents_and_underdots	greetings
Ẹ kú àdúrà àná.	adura ku Ẹ ana.	remove_only_accents_and_swap_word	greetings
Ẹ kú àdúrà, Olódùmarè yóò gbọ́ tiwa.	Ẹ ku Olodumare yoo gbọ tiwa.	remove_only_accents_and_any_random_word	greetings
Ẹ kú odò ẹ̀yin ọ̀rẹ́ mi.	E ku odo eyin ore mi.	remove_accents_and_underdots	greetings
Ẹ kú odò ìyá mi.	E ku odo iya mi.	remove_accents_and_underdots	greetings
Ẹ kú odò, bàbá mi ńkọ́?	Ẹ ku odo, baba mi nkọ?	remove_only_accents	greetings
Ẹ kú odò, ṣé ẹ ti ṣetàn?	E ku odo, se e ti setan?	remove_accents_and_underdots	greetings
Ẹ kú odò ìya Bólá.	E ku odo iya Bola.	remove_accents_and_underdots	greetings
Ẹ kú ọwọ́ lómi, ọmọ náà yóò mọ̀ wá.	Ẹ ku ọwọ lomi, ọmọ naa yoo mọ wa.	remove_only_accents	greetings
Ẹ kú ọwọ́ lómi, a ó jère rẹ̀.	Ẹ a ọwọ lomi, ku o jere rẹ.	remove_only_accents_and_swap_word	greetings
Ẹ kú ọwọ́ lómi ìya Kólá.	E ku owo lomi iya Kola.	remove_accents_and_underdots	greetings
Ẹ kú ọwọ́ lómi, Èdùmàrè á wò ó.	E ku owo lomi, Edumare a wo o.	remove_accents_and_underdots	greetings
Ẹ kú oríire, a sì kú ọwọ́ lómi.	Ẹ ku oriire, a si ku ọwọ lomi.	remove_only_accents	greetings
Ẹ káàsán ìya Túndé, ẹ kú ọjọ́ gbọọrọ.	Ẹ kaasan iya Tunde, ẹ ku gbọọrọ. ọjọ	remove_only_accents_and_swap_word	greetings
Ojú yín rè é, ẹ kú ọjọ́ gbọọrọ.	Oju yin re e, ẹ ọjọ gbọọrọ.	remove_only_accents_and_any_random_word	greetings
Àwọn ará Èkó dé, ẹ kú ọjọ́ gbọọrọ.	Awọn ara Eko de, ẹ ku ọjọ gbọọrọ.	remove_only_accents	greetings
Ẹ kú ọjọ́ gbọọrọ, ẹ kú àìbèère ẹni.	Ẹ ku ọjọ gbọọrọ, ẹ aibeere ẹni.	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọjọ́ gbọọrọ, gbogbo ilé ńkọ́?	Ẹ ku ọjọ gbọọrọ, gbogbo ile nkọ?	remove_only_accents	greetings
A kí yín ẹ kú ìdìde o.	A ki yin ẹ ku idide o.	remove_only_accents	greetings
Ẹ kú ìdìde là á kí ẹni tó fi tiẹ̀ sílẹ̀ gbọ́ tẹni.	E ku idide la a ki eni to fi tie sile gbo teni.	remove_accents_and_underdots	greetings
Mi ò mọ̀ pé ẹ tún lè wá, ẹ ṣé ẹ kú ìdìde.	Mi o mo pe e tun le wa, e se e ku idide.	remove_accents_and_underdots	greetings
Ṣé o ti kí wọn kú ìdìde?	Se o ti ki won ku idide?	remove_accents_and_underdots	greetings
Bọlá ti kí wọn kú ìdìde.	Bola ti ki won ku idide.	remove_accents_and_underdots	greetings
